SIC Code,SIC Code Grouping,Merchant Type,SIC Code Group Type,Presentation
6940,0,,Other,Other
6941,0,,Other,Other
6942,0,,Other,Other
6943,0,,Other,Other
6944,0,,Other,Other
6945,0,,Other,Other
6946,0,,Other,Other
6947,0,,Other,Other
6948,0,,Other,Other
6949,0,,Other,Other
6950,0,,Other,Other
6951,0,,Other,Other
6952,0,,Other,Other
6953,0,,Other,Other
6954,0,,Other,Other
6955,0,,Other,Other
6956,0,,Other,Other
6957,0,,Other,Other
6958,0,,Other,Other
6959,0,,Other,Other
6960,0,,Other,Other
6961,0,,Other,Other
6962,0,,Other,Other
6963,0,,Other,Other
6964,0,,Other,Other
6965,0,,Other,Other
6966,0,,Other,Other
6967,0,,Other,Other
6968,0,,Other,Other
6969,0,,Other,Other
6970,0,,Other,Other
6971,0,,Other,Other
6972,0,,Other,Other
6973,0,,Other,Other
6974,0,,Other,Other
6975,0,,Other,Other
6976,0,,Other,Other
6977,0,,Other,Other
6978,0,,Other,Other
6979,0,,Other,Other
6980,0,,Other,Other
6981,0,,Other,Other
6982,0,,Other,Other
6983,0,,Other,Other
6984,0,,Other,Other
6985,0,,Other,Other
6986,0,,Other,Other
6987,0,,Other,Other
6988,0,,Other,Other
6989,0,,Other,Other
6990,0,,Other,Other
6991,0,,Other,Other
6992,0,,Other,Other
6993,0,,Other,Other
6994,0,,Other,Other
6995,0,,Other,Other
6996,0,,Other,Other
6997,0,,Other,Other
6998,0,,Other,Other
6999,0,,Other,Other
7000,0,,Other,Other
7001,0,,Other,Other
7002,0,,Other,Other
7003,0,,Other,Other
7004,0,,Other,Other
7005,0,,Other,Other
7006,0,,Other,Other
7007,0,,Other,Other
7008,0,,Other,Other
7009,0,,Other,Other
7010,0,,Other,Other
7013,0,,Other,Other
7014,0,,Other,Other
7015,0,,Other,Other
7016,0,,Other,Other
7017,0,,Other,Other
7018,0,,Other,Other
7019,0,,Other,Other
7020,0,,Other,Other
7021,0,,Other,Other
7022,0,,Other,Other
7023,0,,Other,Other
7024,0,,Other,Other
7025,0,,Other,Other
7026,0,,Other,Other
7027,0,,Other,Other
7028,0,,Other,Other
7029,0,,Other,Other
7030,0,,Other,Other
7031,0,,Other,Other
7034,0,,Other,Other
7035,0,,Other,Other
7036,0,,Other,Other
7037,0,,Other,Other
7038,0,,Other,Other
7039,0,,Other,Other
7040,0,,Other,Other
7041,0,,Other,Other
7042,0,,Other,Other
7043,0,,Other,Other
7044,0,,Other,Other
7045,0,,Other,Other
7046,0,,Other,Other
7047,0,,Other,Other
7048,0,,Other,Other
7049,0,,Other,Other
7050,0,,Other,Other
7051,0,,Other,Other
7052,0,,Other,Other
7053,0,,Other,Other
7054,0,,Other,Other
7055,0,,Other,Other
7056,0,,Other,Other
7057,0,,Other,Other
7058,0,,Other,Other
7059,0,,Other,Other
7060,0,,Other,Other
7061,0,,Other,Other
7062,0,,Other,Other
7063,0,,Other,Other
7064,0,,Other,Other
7065,0,,Other,Other
7066,0,,Other,Other
7067,0,,Other,Other
7068,0,,Other,Other
7069,0,,Other,Other
7070,0,,Other,Other
7071,0,,Other,Other
7072,0,,Other,Other
7073,0,,Other,Other
7074,0,,Other,Other
7075,0,,Other,Other
7076,0,,Other,Other
7077,0,,Other,Other
7078,0,,Other,Other
7079,0,,Other,Other
7080,0,,Other,Other
7081,0,,Other,Other
7082,0,,Other,Other
7083,0,,Other,Other
7084,0,,Other,Other
7085,0,,Other,Other
7086,0,,Other,Other
7087,0,,Other,Other
7088,0,,Other,Other
7089,0,,Other,Other
7090,0,,Other,Other
7091,0,,Other,Other
7092,0,,Other,Other
7093,0,,Other,Other
7094,0,,Other,Other
7095,0,,Other,Other
7096,0,,Other,Other
7097,0,,Other,Other
7098,0,,Other,Other
7099,0,,Other,Other
7100,0,,Other,Other
7101,0,,Other,Other
7102,0,,Other,Other
7103,0,,Other,Other
7104,0,,Other,Other
7105,0,,Other,Other
7106,0,,Other,Other
7107,0,,Other,Other
7108,0,,Other,Other
7109,0,,Other,Other
7110,0,,Other,Other
7111,0,,Other,Other
7112,0,,Other,Other
7113,0,,Other,Other
7114,0,,Other,Other
7115,0,,Other,Other
7116,0,,Other,Other
7117,0,,Other,Other
7118,0,,Other,Other
7119,0,,Other,Other
7120,0,,Other,Other
7121,0,,Other,Other
7122,0,,Other,Other
7123,0,,Other,Other
7124,0,,Other,Other
7125,0,,Other,Other
7126,0,,Other,Other
7127,0,,Other,Other
7128,0,,Other,Other
7129,0,,Other,Other
7130,0,,Other,Other
7131,0,,Other,Other
7132,0,,Other,Other
7133,0,,Other,Other
7134,0,,Other,Other
7135,0,,Other,Other
7136,0,,Other,Other
7137,0,,Other,Other
7138,0,,Other,Other
7139,0,,Other,Other
7140,0,,Other,Other
7141,0,,Other,Other
7142,0,,Other,Other
7143,0,,Other,Other
7144,0,,Other,Other
7145,0,,Other,Other
7146,0,,Other,Other
7147,0,,Other,Other
7148,0,,Other,Other
7149,0,,Other,Other
7150,0,,Other,Other
7151,0,,Other,Other
7152,0,,Other,Other
7153,0,,Other,Other
7154,0,,Other,Other
7155,0,,Other,Other
7156,0,,Other,Other
7157,0,,Other,Other
7158,0,,Other,Other
7159,0,,Other,Other
7160,0,,Other,Other
7161,0,,Other,Other
7162,0,,Other,Other
7163,0,,Other,Other
7164,0,,Other,Other
7165,0,,Other,Other
7166,0,,Other,Other
7167,0,,Other,Other
7168,0,,Other,Other
7169,0,,Other,Other
7170,0,,Other,Other
7171,0,,Other,Other
7172,0,,Other,Other
7173,0,,Other,Other
7174,0,,Other,Other
7175,0,,Other,Other
7176,0,,Other,Other
7177,0,,Other,Other
7178,0,,Other,Other
7179,0,,Other,Other
7180,0,,Other,Other
7181,0,,Other,Other
7182,0,,Other,Other
7183,0,,Other,Other
7184,0,,Other,Other
7185,0,,Other,Other
7186,0,,Other,Other
7187,0,,Other,Other
7188,0,,Other,Other
7189,0,,Other,Other
7190,0,,Other,Other
7191,0,,Other,Other
7192,0,,Other,Other
7193,0,,Other,Other
7194,0,,Other,Other
7195,0,,Other,Other
7196,0,,Other,Other
7197,0,,Other,Other
7198,0,,Other,Other
7199,0,,Other,Other
7200,0,,Other,Other
7201,0,,Other,Other
7202,0,,Other,Other
7203,0,,Other,Other
7204,0,,Other,Other
7205,0,,Other,Other
7206,0,,Other,Other
7207,0,,Other,Other
7208,0,,Other,Other
7209,0,,Other,Other
7279,0,,Other,Other
7280,0,HOSPITAL PATIENT PERSONAL FUNDS WITHDRAWAL ACCOUNT,Other,Other
7281,0,,Other,Other
7282,0,,Other,Other
7283,0,,Other,Other
7284,0,,Other,Other
7285,0,,Other,Other
7286,0,,Other,Other
7287,0,,Other,Other
7288,0,,Other,Other
7289,0,,Other,Other
7290,0,,Other,Other
7291,0,,Other,Other
7292,0,,Other,Other
7293,0,,Other,Other
7294,0,,Other,Other
7396,0,,Other,Other
7397,0,,Other,Other
7398,0,,Other,Other
7400,0,,Other,Other
7401,0,,Other,Other
7402,0,,Other,Other
7403,0,,Other,Other
7404,0,,Other,Other
7405,0,,Other,Other
7406,0,,Other,Other
7407,0,,Other,Other
7408,0,,Other,Other
7409,0,,Other,Other
7410,0,,Other,Other
7411,0,,Other,Other
7412,0,,Other,Other
7413,0,,Other,Other
7414,0,,Other,Other
7415,0,,Other,Other
7416,0,,Other,Other
7417,0,,Other,Other
7418,0,,Other,Other
7419,0,,Other,Other
7420,0,,Other,Other
7421,0,,Other,Other
7422,0,,Other,Other
7423,0,,Other,Other
7424,0,,Other,Other
7425,0,,Other,Other
7426,0,,Other,Other
7427,0,,Other,Other
7428,0,,Other,Other
7429,0,,Other,Other
7430,0,,Other,Other
7431,0,,Other,Other
7432,0,,Other,Other
7433,0,,Other,Other
7434,0,,Other,Other
7435,0,,Other,Other
7436,0,,Other,Other
7437,0,,Other,Other
7438,0,,Other,Other
7439,0,,Other,Other
7440,0,,Other,Other
7441,0,,Other,Other
7442,0,,Other,Other
7443,0,,Other,Other
7444,0,,Other,Other
7445,0,,Other,Other
7446,0,,Other,Other
7447,0,,Other,Other
7448,0,,Other,Other
7449,0,,Other,Other
7450,0,,Other,Other
7451,0,,Other,Other
7452,0,,Other,Other
7453,0,,Other,Other
7454,0,,Other,Other
7455,0,,Other,Other
7456,0,,Other,Other
7457,0,,Other,Other
7458,0,,Other,Other
7459,0,,Other,Other
7460,0,,Other,Other
7461,0,,Other,Other
7462,0,,Other,Other
7463,0,,Other,Other
7464,0,,Other,Other
7465,0,,Other,Other
7466,0,,Other,Other
7467,0,,Other,Other
7468,0,,Other,Other
7469,0,,Other,Other
7470,0,,Other,Other
7471,0,,Other,Other
7472,0,,Other,Other
7473,0,,Other,Other
7474,0,,Other,Other
7475,0,,Other,Other
7476,0,,Other,Other
7477,0,,Other,Other
7478,0,,Other,Other
7479,0,,Other,Other
7480,0,,Other,Other
7481,0,,Other,Other
7482,0,,Other,Other
7483,0,,Other,Other
7484,0,,Other,Other
7485,0,,Other,Other
7486,0,,Other,Other
7487,0,,Other,Other
7488,0,,Other,Other
7489,0,,Other,Other
7490,0,,Other,Other
7491,0,,Other,Other
7492,0,,Other,Other
7493,0,,Other,Other
7494,0,,Other,Other
7495,0,,Other,Other
7496,0,,Other,Other
7497,0,,Other,Other
7498,0,,Other,Other
7499,0,,Other,Other
7500,0,,Other,Other
7501,0,,Other,Other
7502,0,,Other,Other
7503,0,,Other,Other
7504,0,,Other,Other
7505,0,,Other,Other
7506,0,,Other,Other
7507,0,,Other,Other
7508,0,,Other,Other
7509,0,,Other,Other
7510,0,,Other,Other
7514,0,,Other,Other
7515,0,,Other,Other
7516,0,,Other,Other
7517,0,,Other,Other
7518,0,,Other,Other
7520,0,,Other,Other
7521,0,,Other,Other
7522,0,,Other,Other
7525,0,,Other,Other
7526,0,,Other,Other
7527,0,,Other,Other
7528,0,,Other,Other
7529,0,,Other,Other
7530,0,,Other,Other
7539,0,,Other,Other
7540,0,,Other,Other
7541,0,,Other,Other
7624,0,,Other,Other
7625,0,,Other,Other
7626,0,,Other,Other
7627,0,,Other,Other
7628,0,,Other,Other
7630,0,,Other,Other
7632,0,,Other,Other
7633,0,,Other,Other
7634,0,,Other,Other
7635,0,,Other,Other
7636,0,,Other,Other
7637,0,,Other,Other
7638,0,,Other,Other
7639,0,,Other,Other
7640,0,,Other,Other
7641,0,"FURNITURE--REUPHOLSTERY,REPAIR,AND REFINISHING",Other,Other
7642,0,,Other,Other
7643,0,,Other,Other
7644,0,,Other,Other
7645,0,,Other,Other
7646,0,,Other,Other
7647,0,,Other,Other
7648,0,,Other,Other
7649,0,,Other,Other
7650,0,,Other,Other
7651,0,,Other,Other
7652,0,,Other,Other
7653,0,,Other,Other
7654,0,,Other,Other
7655,0,,Other,Other
7656,0,,Other,Other
7657,0,,Other,Other
7658,0,,Other,Other
7659,0,,Other,Other
7660,0,,Other,Other
7661,0,,Other,Other
7662,0,,Other,Other
7663,0,,Other,Other
7664,0,,Other,Other
7665,0,,Other,Other
7666,0,,Other,Other
7667,0,,Other,Other
7668,0,,Other,Other
7669,0,,Other,Other
7670,0,,Other,Other
7671,0,,Other,Other
7672,0,,Other,Other
7673,0,,Other,Other
7674,0,,Other,Other
7675,0,,Other,Other
7676,0,,Other,Other
7677,0,,Other,Other
7678,0,,Other,Other
7679,0,,Other,Other
7680,0,,Other,Other
7681,0,,Other,Other
7682,0,,Other,Other
7683,0,,Other,Other
7684,0,,Other,Other
7685,0,,Other,Other
7686,0,,Other,Other
7687,0,,Other,Other
7688,0,,Other,Other
7689,0,,Other,Other
7690,0,,Other,Other
7691,0,,Other,Other
7693,0,,Other,Other
7694,0,,Other,Other
7695,0,,Other,Other
7696,0,,Other,Other
7697,0,,Other,Other
7698,0,,Other,Other
7700,0,,Other,Other
7701,0,,Other,Other
7702,0,,Other,Other
7703,0,,Other,Other
7704,0,,Other,Other
7705,0,,Other,Other
7706,0,,Other,Other
7707,0,,Other,Other
7708,0,,Other,Other
7709,0,,Other,Other
7710,0,,Other,Other
7711,0,,Other,Other
7712,0,,Other,Other
7713,0,,Other,Other
7714,0,,Other,Other
7715,0,,Other,Other
7716,0,,Other,Other
7717,0,,Other,Other
7718,0,,Other,Other
7719,0,,Other,Other
7720,0,,Other,Other
7721,0,,Other,Other
7722,0,,Other,Other
7723,0,,Other,Other
7724,0,,Other,Other
7725,0,,Other,Other
7726,0,,Other,Other
7727,0,,Other,Other
7728,0,,Other,Other
7729,0,,Other,Other
7730,0,,Other,Other
7731,0,,Other,Other
7732,0,,Other,Other
7733,0,,Other,Other
7734,0,,Other,Other
7735,0,,Other,Other
7736,0,,Other,Other
7737,0,,Other,Other
7738,0,,Other,Other
7739,0,,Other,Other
7740,0,,Other,Other
7741,0,,Other,Other
7742,0,,Other,Other
7743,0,,Other,Other
7744,0,,Other,Other
7745,0,,Other,Other
7746,0,,Other,Other
7747,0,,Other,Other
7748,0,,Other,Other
7749,0,,Other,Other
7750,0,,Other,Other
7751,0,,Other,Other
7752,0,,Other,Other
7753,0,,Other,Other
7754,0,,Other,Other
7755,0,,Other,Other
7756,0,,Other,Other
7757,0,,Other,Other
7758,0,,Other,Other
7759,0,,Other,Other
7760,0,,Other,Other
7761,0,,Other,Other
7762,0,,Other,Other
7763,0,,Other,Other
7764,0,,Other,Other
7765,0,,Other,Other
7766,0,,Other,Other
7767,0,,Other,Other
7768,0,,Other,Other
7769,0,,Other,Other
7770,0,,Other,Other
7771,0,,Other,Other
7772,0,,Other,Other
7773,0,,Other,Other
7774,0,,Other,Other
7775,0,,Other,Other
7776,0,,Other,Other
7777,0,,Other,Other
7778,0,,Other,Other
7779,0,,Other,Other
7780,0,,Other,Other
7781,0,,Other,Other
7782,0,,Other,Other
7783,0,,Other,Other
7784,0,,Other,Other
7785,0,,Other,Other
7786,0,,Other,Other
7787,0,,Other,Other
7788,0,,Other,Other
7789,0,,Other,Other
7790,0,,Other,Other
7791,0,,Other,Other
7792,0,,Other,Other
7793,0,,Other,Other
7794,0,,Other,Other
7795,0,,Other,Other
7796,0,,Other,Other
7797,0,,Other,Other
7798,0,,Other,Other
7799,0,,Other,Other
7800,0,,Other,Other
7801,0,,Other,Other
7802,0,,Other,Other
7803,0,,Other,Other
7804,0,,Other,Other
7805,0,,Other,Other
7806,0,,Other,Other
7807,0,,Other,Other
7808,0,,Other,Other
7809,0,,Other,Other
7810,0,,Other,Other
7811,0,,Other,Other
7812,0,,Other,Other
7813,0,,Other,Other
7814,0,,Other,Other
7815,0,,Other,Other
7816,0,,Other,Other
7817,0,,Other,Other
7818,0,,Other,Other
7819,0,,Other,Other
7820,0,,Other,Other
7821,0,,Other,Other
7822,0,,Other,Other
7823,0,,Other,Other
7824,0,,Other,Other
7825,0,,Other,Other
7826,0,,Other,Other
7827,0,,Other,Other
7828,0,,Other,Other
7830,0,,Other,Other
7831,0,,Other,Other
8000,0,,Other,Other
8001,0,,Other,Other
8002,0,,Other,Other
8003,0,,Other,Other
8004,0,,Other,Other
8005,0,,Other,Other
8006,0,,Other,Other
8007,0,,Other,Other
8008,0,,Other,Other
8009,0,,Other,Other
8010,0,,Other,Other
8100,0,,Other,Other
8101,0,,Other,Other
8102,0,,Other,Other
8103,0,,Other,Other
8104,0,,Other,Other
8105,0,,Other,Other
8106,0,,Other,Other
8107,0,,Other,Other
8108,0,,Other,Other
8109,0,,Other,Other
8110,0,,Other,Other
8112,0,,Other,Other
8113,0,,Other,Other
8114,0,,Other,Other
8115,0,,Other,Other
8116,0,,Other,Other
8117,0,,Other,Other
8118,0,,Other,Other
8119,0,,Other,Other
8120,0,,Other,Other
8121,0,,Other,Other
8122,0,,Other,Other
8123,0,,Other,Other
8124,0,,Other,Other
8125,0,,Other,Other
8126,0,,Other,Other
8127,0,,Other,Other
8128,0,,Other,Other
8129,0,,Other,Other
8130,0,,Other,Other
8131,0,,Other,Other
8132,0,,Other,Other
8133,0,,Other,Other
8134,0,,Other,Other
8135,0,,Other,Other
8136,0,,Other,Other
8137,0,,Other,Other
8138,0,,Other,Other
8139,0,,Other,Other
8140,0,,Other,Other
8141,0,,Other,Other
8142,0,,Other,Other
8143,0,,Other,Other
8144,0,,Other,Other
8145,0,,Other,Other
8146,0,,Other,Other
8147,0,,Other,Other
8148,0,,Other,Other
8149,0,,Other,Other
8150,0,,Other,Other
8151,0,,Other,Other
8152,0,,Other,Other
8153,0,,Other,Other
8154,0,,Other,Other
8155,0,,Other,Other
8156,0,,Other,Other
8157,0,,Other,Other
8158,0,,Other,Other
8159,0,,Other,Other
8160,0,,Other,Other
8161,0,,Other,Other
8162,0,,Other,Other
8163,0,,Other,Other
8164,0,,Other,Other
8165,0,,Other,Other
8166,0,,Other,Other
8167,0,,Other,Other
8168,0,,Other,Other
8169,0,,Other,Other
8170,0,,Other,Other
8171,0,,Other,Other
8172,0,,Other,Other
8173,0,,Other,Other
8174,0,,Other,Other
8175,0,,Other,Other
8176,0,,Other,Other
8177,0,,Other,Other
8178,0,,Other,Other
8179,0,,Other,Other
8180,0,,Other,Other
8181,0,,Other,Other
8182,0,,Other,Other
8183,0,,Other,Other
8184,0,,Other,Other
8185,0,,Other,Other
8186,0,,Other,Other
8187,0,,Other,Other
8188,0,,Other,Other
8189,0,,Other,Other
8190,0,,Other,Other
8191,0,,Other,Other
8192,0,,Other,Other
8193,0,,Other,Other
8194,0,,Other,Other
8195,0,,Other,Other
8196,0,,Other,Other
8197,0,,Other,Other
8198,0,,Other,Other
8199,0,,Other,Other
8200,0,,Other,Other
8201,0,,Other,Other
8202,0,,Other,Other
8203,0,,Other,Other
8204,0,,Other,Other
8205,0,,Other,Other
8206,0,,Other,Other
8207,0,,Other,Other
8208,0,,Other,Other
8209,0,,Other,Other
8210,0,,Other,Other
8300,0,,Other,Other
8301,0,,Other,Other
8302,0,,Other,Other
8303,0,,Other,Other
8304,0,,Other,Other
8305,0,,Other,Other
8306,0,,Other,Other
8307,0,,Other,Other
8308,0,,Other,Other
8309,0,,Other,Other
8310,0,,Other,Other
8311,0,,Other,Other
8312,0,,Other,Other
8313,0,,Other,Other
8314,0,,Other,Other
8315,0,,Other,Other
8316,0,,Other,Other
8317,0,,Other,Other
8318,0,,Other,Other
8319,0,,Other,Other
8320,0,,Other,Other
8321,0,,Other,Other
8322,0,,Other,Other
8323,0,,Other,Other
8324,0,,Other,Other
8325,0,,Other,Other
8326,0,,Other,Other
8327,0,,Other,Other
8328,0,,Other,Other
8329,0,,Other,Other
8330,0,,Other,Other
8331,0,,Other,Other
8332,0,,Other,Other
8333,0,,Other,Other
8334,0,,Other,Other
8335,0,,Other,Other
8336,0,,Other,Other
8337,0,,Other,Other
8338,0,,Other,Other
8339,0,,Other,Other
8340,0,,Other,Other
8341,0,,Other,Other
8342,0,,Other,Other
8343,0,,Other,Other
8344,0,,Other,Other
8345,0,,Other,Other
8346,0,,Other,Other
8347,0,,Other,Other
8348,0,,Other,Other
8349,0,,Other,Other
8350,0,,Other,Other
8352,0,,Other,Other
8353,0,,Other,Other
8354,0,,Other,Other
8355,0,,Other,Other
8356,0,,Other,Other
8357,0,,Other,Other
8358,0,,Other,Other
8359,0,,Other,Other
8360,0,,Other,Other
8361,0,,Other,Other
8362,0,,Other,Other
8363,0,,Other,Other
8364,0,,Other,Other
8365,0,,Other,Other
8366,0,,Other,Other
8367,0,,Other,Other
8368,0,,Other,Other
8369,0,,Other,Other
8370,0,,Other,Other
8371,0,,Other,Other
8372,0,,Other,Other
8373,0,,Other,Other
8374,0,,Other,Other
8375,0,,Other,Other
8376,0,,Other,Other
8377,0,,Other,Other
8378,0,,Other,Other
8379,0,,Other,Other
8380,0,,Other,Other
8381,0,,Other,Other
8382,0,,Other,Other
8383,0,,Other,Other
8384,0,,Other,Other
8385,0,,Other,Other
8386,0,,Other,Other
8387,0,,Other,Other
8388,0,,Other,Other
8389,0,,Other,Other
8390,0,,Other,Other
8391,0,,Other,Other
8392,0,,Other,Other
8393,0,,Other,Other
8394,0,,Other,Other
8395,0,,Other,Other
8396,0,,Other,Other
8397,0,,Other,Other
8700,0,,Other,Other
8701,0,,Other,Other
8702,0,,Other,Other
8703,0,,Other,Other
8704,0,,Other,Other
8705,0,,Other,Other
8706,0,,Other,Other
8707,0,,Other,Other
8708,0,,Other,Other
8709,0,,Other,Other
8710,0,,Other,Other
8711,0,,Other,Other
8712,0,,Other,Other
8713,0,,Other,Other
8714,0,,Other,Other
8715,0,,Other,Other
8716,0,,Other,Other
8717,0,,Other,Other
8718,0,,Other,Other
8719,0,,Other,Other
8720,0,,Other,Other
8721,0,,Other,Other
8722,0,,Other,Other
8723,0,,Other,Other
8724,0,,Other,Other
8725,0,,Other,Other
8726,0,,Other,Other
8727,0,,Other,Other
8728,0,,Other,Other
8729,0,,Other,Other
8730,0,,Other,Other
8731,0,,Other,Other
8732,0,,Other,Other
8733,0,,Other,Other
8735,0,,Other,Other
8736,0,,Other,Other
8737,0,,Other,Other
8738,0,,Other,Other
8739,0,,Other,Other
8740,0,,Other,Other
8741,0,,Other,Other
8742,0,,Other,Other
8743,0,,Other,Other
8744,0,,Other,Other
8745,0,,Other,Other
8746,0,,Other,Other
8747,0,,Other,Other
8748,0,,Other,Other
8749,0,,Other,Other
8750,0,,Other,Other
8751,0,,Other,Other
8752,0,,Other,Other
8753,0,,Other,Other
8754,0,,Other,Other
8755,0,,Other,Other
8756,0,,Other,Other
8757,0,,Other,Other
8758,0,,Other,Other
8759,0,,Other,Other
8760,0,,Other,Other
8761,0,,Other,Other
8762,0,,Other,Other
8763,0,,Other,Other
8764,0,,Other,Other
8765,0,,Other,Other
8766,0,,Other,Other
8767,0,,Other,Other
8768,0,,Other,Other
8769,0,,Other,Other
8770,0,,Other,Other
8771,0,,Other,Other
8772,0,,Other,Other
8773,0,,Other,Other
8774,0,,Other,Other
8775,0,,Other,Other
8776,0,,Other,Other
8777,0,,Other,Other
8778,0,,Other,Other
8779,0,,Other,Other
8780,0,,Other,Other
8781,0,,Other,Other
8782,0,,Other,Other
8783,0,,Other,Other
8784,0,,Other,Other
8785,0,,Other,Other
8786,0,,Other,Other
8787,0,,Other,Other
8788,0,,Other,Other
8789,0,,Other,Other
8790,0,,Other,Other
8791,0,,Other,Other
8792,0,,Other,Other
8793,0,,Other,Other
8794,0,,Other,Other
8795,0,,Other,Other
8796,0,,Other,Other
8797,0,,Other,Other
8798,0,,Other,Other
8799,0,,Other,Other
8800,0,,Other,Other
8801,0,,Other,Other
8802,0,,Other,Other
8803,0,,Other,Other
8804,0,,Other,Other
8805,0,,Other,Other
8806,0,,Other,Other
8807,0,,Other,Other
8808,0,,Other,Other
8809,0,,Other,Other
8810,0,,Other,Other
8811,0,,Other,Other
8812,0,,Other,Other
8813,0,,Other,Other
8814,0,,Other,Other
8815,0,,Other,Other
8816,0,,Other,Other
8817,0,,Other,Other
8818,0,,Other,Other
8819,0,,Other,Other
8820,0,,Other,Other
8821,0,,Other,Other
8822,0,,Other,Other
8823,0,,Other,Other
8824,0,,Other,Other
8825,0,,Other,Other
8826,0,,Other,Other
8827,0,,Other,Other
8828,0,,Other,Other
8829,0,,Other,Other
8830,0,,Other,Other
8831,0,,Other,Other
8832,0,,Other,Other
8833,0,,Other,Other
8834,0,,Other,Other
8835,0,,Other,Other
8836,0,,Other,Other
8837,0,,Other,Other
8838,0,,Other,Other
8839,0,,Other,Other
8840,0,,Other,Other
8841,0,,Other,Other
8842,0,,Other,Other
8843,0,,Other,Other
8844,0,,Other,Other
8845,0,,Other,Other
8846,0,,Other,Other
8847,0,,Other,Other
8848,0,,Other,Other
8849,0,,Other,Other
8850,0,,Other,Other
8851,0,,Other,Other
8852,0,,Other,Other
8853,0,,Other,Other
8854,0,,Other,Other
8855,0,,Other,Other
8856,0,,Other,Other
8857,0,,Other,Other
8858,0,,Other,Other
8859,0,,Other,Other
8860,0,,Other,Other
8861,0,,Other,Other
8862,0,,Other,Other
8863,0,,Other,Other
8864,0,,Other,Other
8865,0,,Other,Other
8866,0,,Other,Other
8867,0,,Other,Other
8868,0,,Other,Other
8869,0,,Other,Other
8870,0,,Other,Other
8871,0,,Other,Other
8872,0,,Other,Other
8873,0,,Other,Other
8874,0,,Other,Other
8875,0,,Other,Other
8876,0,,Other,Other
8877,0,,Other,Other
8878,0,,Other,Other
8879,0,,Other,Other
8880,0,,Other,Other
8881,0,,Other,Other
8882,0,,Other,Other
8883,0,,Other,Other
8884,0,,Other,Other
8885,0,,Other,Other
8886,0,,Other,Other
8887,0,,Other,Other
8888,0,,Other,Other
8889,0,,Other,Other
8890,0,,Other,Other
8891,0,,Other,Other
8892,0,,Other,Other
8893,0,,Other,Other
8894,0,,Other,Other
8895,0,,Other,Other
8896,0,,Other,Other
8897,0,,Other,Other
8898,0,,Other,Other
8899,0,,Other,Other
8900,0,,Other,Other
8901,0,,Other,Other
8902,0,,Other,Other
8903,0,,Other,Other
8904,0,,Other,Other
8905,0,,Other,Other
8906,0,,Other,Other
8907,0,,Other,Other
8908,0,,Other,Other
8909,0,,Other,Other
8910,0,,Other,Other
8912,0,,Other,Other
8913,0,,Other,Other
8914,0,,Other,Other
8915,0,,Other,Other
8916,0,,Other,Other
8917,0,,Other,Other
8918,0,,Other,Other
8919,0,,Other,Other
8920,0,,Other,Other
8921,0,,Other,Other
8922,0,,Other,Other
8923,0,,Other,Other
8924,0,,Other,Other
8925,0,,Other,Other
8926,0,,Other,Other
8927,0,,Other,Other
8928,0,,Other,Other
8929,0,,Other,Other
8930,0,,Other,Other
8932,0,,Other,Other
8933,0,,Other,Other
8934,0,,Other,Other
8935,0,,Other,Other
8936,0,,Other,Other
8937,0,,Other,Other
8938,0,,Other,Other
8939,0,,Other,Other
8940,0,,Other,Other
8941,0,,Other,Other
8942,0,,Other,Other
8943,0,,Other,Other
8944,0,,Other,Other
8945,0,,Other,Other
8946,0,,Other,Other
8947,0,,Other,Other
8948,0,,Other,Other
8949,0,,Other,Other
8950,0,,Other,Other
8951,0,,Other,Other
8952,0,,Other,Other
8953,0,,Other,Other
8954,0,,Other,Other
8955,0,,Other,Other
8956,0,,Other,Other
8957,0,,Other,Other
8958,0,,Other,Other
8959,0,,Other,Other
8960,0,,Other,Other
8961,0,,Other,Other
8962,0,,Other,Other
8963,0,,Other,Other
8964,0,,Other,Other
8965,0,,Other,Other
8966,0,,Other,Other
8967,0,,Other,Other
8968,0,,Other,Other
8969,0,,Other,Other
8970,0,,Other,Other
8971,0,,Other,Other
8972,0,,Other,Other
8973,0,,Other,Other
8974,0,,Other,Other
8975,0,,Other,Other
8976,0,,Other,Other
8977,0,,Other,Other
8978,0,,Other,Other
8979,0,,Other,Other
8980,0,,Other,Other
8981,0,,Other,Other
8982,0,,Other,Other
8983,0,,Other,Other
8984,0,,Other,Other
8985,0,,Other,Other
8986,0,,Other,Other
8987,0,,Other,Other
8988,0,,Other,Other
8989,0,,Other,Other
8990,0,,Other,Other
8991,0,,Other,Other
8992,0,,Other,Other
8993,0,,Other,Other
8994,0,,Other,Other
8995,0,,Other,Other
8996,0,,Other,Other
8997,0,,Other,Other
8998,0,,Other,Other
9000,0,,Other,Other
9001,0,,Other,Other
9002,0,,Other,Other
9003,0,,Other,Other
9004,0,,Other,Other
9005,0,,Other,Other
9006,0,,Other,Other
9007,0,,Other,Other
9008,0,,Other,Other
9009,0,,Other,Other
9010,0,,Other,Other
9011,0,,Other,Other
9012,0,,Other,Other
9013,0,,Other,Other
9014,0,,Other,Other
9015,0,,Other,Other
9016,0,,Other,Other
9017,0,,Other,Other
9018,0,,Other,Other
9019,0,,Other,Other
9020,0,,Other,Other
9021,0,,Other,Other
9022,0,,Other,Other
9023,0,,Other,Other
9024,0,,Other,Other
9025,0,,Other,Other
9026,0,,Other,Other
