SIC Code,SIC Code Grouping,Merchant Type,SIC Code Group Type,Presentation
2063,0,,Other,Other
2064,0,,Other,Other
2065,0,,Other,Other
2066,0,,Other,Other
2067,0,,Other,Other
2068,0,,Other,Other
2069,0,,Other,Other
2070,0,,Other,Other
2071,0,,Other,Other
2072,0,,Other,Other
2073,0,,Other,Other
2074,0,,Other,Other
2075,0,,Other,Other
2076,0,,Other,Other
2077,0,,Other,Other
2078,0,,Other,Other
2079,0,,Other,Other
2080,0,,Other,Other
2081,0,,Other,Other
2082,0,,Other,Other
2083,0,,Other,Other
2084,0,,Other,Other
2085,0,,Other,Other
2086,0,,Other,Other
2087,0,,Other,Other
2088,0,,Other,Other
2089,0,,Other,Other
2090,0,,Other,Other
2091,0,,Other,Other
2092,0,,Other,Other
2093,0,,Other,Other
2094,0,,Other,Other
2095,0,,Other,Other
2096,0,,Other,Other
2097,0,,Other,Other
2098,0,,Other,Other
2099,0,,Other,Other
2100,0,,Other,Other
2101,0,,Other,Other
2102,0,,Other,Other
2103,0,,Other,Other
2104,0,,Other,Other
2105,0,,Other,Other
2106,0,,Other,Other
2107,0,,Other,Other
2108,0,,Other,Other
2109,0,,Other,Other
2110,0,,Other,Other
2111,0,,Other,Other
2112,0,,Other,Other
2113,0,,Other,Other
2114,0,,Other,Other
2115,0,,Other,Other
2116,0,,Other,Other
2117,0,,Other,Other
2118,0,,Other,Other
2119,0,,Other,Other
2120,0,,Other,Other
2121,0,,Other,Other
2122,0,,Other,Other
2123,0,,Other,Other
2124,0,,Other,Other
2125,0,,Other,Other
2126,0,,Other,Other
2127,0,,Other,Other
2128,0,,Other,Other
2129,0,,Other,Other
2130,0,,Other,Other
2131,0,,Other,Other
2132,0,,Other,Other
2133,0,,Other,Other
2134,0,,Other,Other
2135,0,,Other,Other
2136,0,,Other,Other
2137,0,,Other,Other
2138,0,,Other,Other
2139,0,,Other,Other
2140,0,,Other,Other
2141,0,,Other,Other
2142,0,,Other,Other
2143,0,,Other,Other
2144,0,,Other,Other
2145,0,,Other,Other
2146,0,,Other,Other
2147,0,,Other,Other
2148,0,,Other,Other
2149,0,,Other,Other
2150,0,,Other,Other
2151,0,,Other,Other
2152,0,,Other,Other
2153,0,,Other,Other
2154,0,,Other,Other
2155,0,,Other,Other
2156,0,,Other,Other
2157,0,,Other,Other
2158,0,,Other,Other
2159,0,,Other,Other
2160,0,,Other,Other
2161,0,,Other,Other
2162,0,,Other,Other
2163,0,,Other,Other
2164,0,,Other,Other
2165,0,,Other,Other
2166,0,,Other,Other
2167,0,,Other,Other
2168,0,,Other,Other
2169,0,,Other,Other
2170,0,,Other,Other
2171,0,,Other,Other
2172,0,,Other,Other
2173,0,,Other,Other
2174,0,,Other,Other
2175,0,,Other,Other
2176,0,,Other,Other
2177,0,,Other,Other
2178,0,,Other,Other
2179,0,,Other,Other
2180,0,,Other,Other
2181,0,,Other,Other
2182,0,,Other,Other
2183,0,,Other,Other
2184,0,,Other,Other
2185,0,,Other,Other
2186,0,,Other,Other
2187,0,,Other,Other
2188,0,,Other,Other
2189,0,,Other,Other
2190,0,,Other,Other
2191,0,,Other,Other
2192,0,,Other,Other
2193,0,,Other,Other
2194,0,,Other,Other
2195,0,,Other,Other
2196,0,,Other,Other
2197,0,,Other,Other
2198,0,,Other,Other
2199,0,,Other,Other
2200,0,,Other,Other
2201,0,,Other,Other
2202,0,,Other,Other
2203,0,,Other,Other
2204,0,,Other,Other
2205,0,,Other,Other
2206,0,,Other,Other
2207,0,,Other,Other
2208,0,,Other,Other
2209,0,,Other,Other
2210,0,,Other,Other
2211,0,,Other,Other
2212,0,,Other,Other
2213,0,,Other,Other
2214,0,,Other,Other
2215,0,,Other,Other
2216,0,,Other,Other
2217,0,,Other,Other
2218,0,,Other,Other
2219,0,,Other,Other
2220,0,,Other,Other
2221,0,,Other,Other
2222,0,,Other,Other
2223,0,,Other,Other
2224,0,,Other,Other
2225,0,,Other,Other
2226,0,,Other,Other
2227,0,,Other,Other
2228,0,,Other,Other
2229,0,,Other,Other
2230,0,,Other,Other
2231,0,,Other,Other
2232,0,,Other,Other
2233,0,,Other,Other
2234,0,,Other,Other
2235,0,,Other,Other
2236,0,,Other,Other
2237,0,,Other,Other
2238,0,,Other,Other
2239,0,,Other,Other
2240,0,,Other,Other
2241,0,,Other,Other
2242,0,,Other,Other
2243,0,,Other,Other
2244,0,,Other,Other
2245,0,,Other,Other
2246,0,,Other,Other
2247,0,,Other,Other
2248,0,,Other,Other
2249,0,,Other,Other
2250,0,,Other,Other
2251,0,,Other,Other
2252,0,,Other,Other
2253,0,,Other,Other
2254,0,,Other,Other
2255,0,,Other,Other
2256,0,,Other,Other
2257,0,,Other,Other
2258,0,,Other,Other
2259,0,,Other,Other
2260,0,,Other,Other
2261,0,,Other,Other
2262,0,,Other,Other
2263,0,,Other,Other
2264,0,,Other,Other
2265,0,,Other,Other
2266,0,,Other,Other
2267,0,,Other,Other
2268,0,,Other,Other
2269,0,,Other,Other
2270,0,,Other,Other
2271,0,,Other,Other
2272,0,,Other,Other
2273,0,,Other,Other
2274,0,,Other,Other
2275,0,,Other,Other
